,a1,a2,a3,a4
0,-3.17043,1.24134,-3.55791,-0.342549
1,-7.43122,1.18426,-0.552499,-3.66744
2,-4.92843,2.64079,0.459975,-0.489992
3,-2.43743,3.11491,2.01793,3.49271
4,1.1004,0.531721,2.04139,3.17692
5,6.73221,-2.15315,-0.780958,3.37582
6,6.22825,-1.12478,-3.41485,1.44666
7,3.1945,0.81481,-4.35255,0.216526
8,-0.910519,2.27689,-0.0118427,-2.92547
9,-3.04519,1.57785,2.79657,-4.79755
10,-3.86476,1.88399,2.21701,2.86316
11,-8.42637,4.4204,2.91425,5.66184
12,0.190738,3.11233,2.67241,1.62524
13,2.78974,-3.31289,1.20246,0.043574
14,-1.18122,-1.95032,2.51251,-1.16927
15,5.2502,1.98486,1.02463,-0.905078
16,6.48362,0.298526,1.44085,5.88783
17,-0.880534,-1.76444,3.34385,3.63165
18,0.386537,-1.68852,0.473906,-1.04459
19,-1.35368,0.41065,-4.84258,0.258615
20,-8.71119,3.55744,-6.17429,1.11128
21,-6.86147,5.76521,-1.91539,-0.0395858
22,-6.10283,6.20042,0.621106,2.63846
23,-2.72388,2.72621,4.12979,1.50778
24,2.19989,-4.27103,3.07662,3.57948
25,4.44434,-1.22023,0.916474,3.75214
26,5.22143,2.23161,-2.46984,-0.336489
27,3.36832,-2.30906,-0.794206,0.779497
28,-2.78182,-4.01655,0.308492,3.26802
29,-2.24327,4.0119,0.839079,4.14417
30,-6.5388,7.89624,-0.425583,4.75773
31,-7.13203,4.6254,1.308,0.593717
32,-3.34086,-0.799255,1.11996,1.09658
33,-2.67015,0.46163,0.0534069,3.45971
34,-0.651629,4.70146,-1.53297,2.03313
35,1.74845,2.40299,-0.558575,1.32157
36,0.527107,-3.55924,0.860875,4.72977
37,-0.769273,-0.670184,0.398991,5.36624
38,-1.33768,5.46802,0.573646,0.964128
39,-3.34005,2.3634,-1.35018,0.521367
40,-5.69291,-2.31313,0.298143,-0.229109
41,-5.03292,-1.21074,0.387126,-1.18194
42,-1.5157,3.14081,1.05884,2.56943
43,-0.705228,0.421771,2.57514,6.15102
44,3.29925,-3.1925,3.56044,2.41377
45,2.63125,-1.39675,0.573506,-1.52987
46,2.33761,2.68621,-0.527261,-1.94452
47,0.253283,-0.545857,-0.358952,1.18018
48,-1.69509,-0.49976,1.82147,-1.0639
49,-1.55031,4.94062,-1.35197,0.0477637
50,-3.26013,4.9775,-2.55235,5.97446
51,-3.48321,-1.1382,0.76775,4.28831
52,0.509057,-3.14925,1.27419,0.940063
53,-0.633315,0.0715711,0.0440222,0.139142
54,-1.54244,-0.047196,-1.88008,-0.000950277
55,0.325333,-2.85029,-0.262383,0.263958
56,-0.458683,-2.65492,1.09499,0.600065
57,1.27557,1.00951,0.140592,2.77395
58,-0.530599,0.807902,-0.672257,1.49107
59,-0.418384,0.168375,0.46093,-3.05085
60,0.896992,0.398182,-0.778347,-2.75438
61,0.839188,0.383539,0.236058,-1.68783
62,2.15239,-0.93795,0.0968584,-0.494732
63,2.94184,0.131634,-0.225412,1.08809
64,1.66608,1.00409,-1.13097,1.46686
65,0.983561,0.658223,-0.917134,-0.541573
66,-0.967522,-0.426952,0.243507,-2.81476
67,-1.05178,-1.7502,0.674074,-2.01168
68,-0.915688,-2.44084,1.01111,0.428844
69,0.343919,-1.2007,0.948196,1.01112
70,2.05429,0.494444,-0.404482,0.787868
71,2.05863,-0.387362,-0.22969,-0.895838
72,2.49324,-3.08105,0.982409,-2.91479
73,2.74088,-2.35773,1.0536,-3.01207
74,1.35766,1.8966,-0.0118547,-2.96264
75,0.992243,3.82115,-1.28065,-0.0235726
76,0.107682,1.08598,0.20198,-1.17184
77,2.54453,-1.57314,-0.0514492,0.467329
78,0.0395651,1.30317,-0.886509,0.921189
79,-0.651639,5.16189,0.0110455,-6.2293
80,4.19533,-0.0265851,-0.451804,-2.76604
81,-0.0548756,-4.97495,2.7095,2.50602
82,4.07837,-4.12799,2.43373,-1.09127
