,a1,a2,a3,a4
0,-18.9713,-0.249647,-0.187719,1.0615
1,-9.93899,8.53113,7.55448,4.69872
2,21.4341,-4.73962,-0.278358,5.95105
3,8.52254,-0.592933,1.26277,3.63822
4,-21.1476,-0.557682,8.98138,0.0193064
5,3.84423,2.48647,-4.12656,2.49557
6,3.86255,2.764,-5.86414,1.64334
7,-22.9758,-4.73406,4.98695,-3.56502
8,0.19445,-1.65289,-5.02163,4.36723
9,9.14509,-1.94479,-5.88663,6.24954
10,-9.06054,-2.31479,0.959125,4.40744
11,-1.51511,-0.832501,-5.44889,8.74354
12,0.606539,1.92125,-1.47183,3.21766
13,-6.74567,-2.19222,1.59815,1.03873
14,1.18838,8.80486,-3.4376,5.34413
15,-7.65005,4.46267,2.27911,0.376601
16,-5.54278,2.34195,1.78287,-2.20474
17,0.855801,3.67279,0.201873,3.57942
18,1.87062,2.3372,7.0388,1.86343
19,5.76682,-0.557276,1.77349,2.2128
20,-0.781839,2.73445,-4.26755,3.63433
21,-10.5873,1.10357,-1.25703,1.77104
22,-4.53488,-0.531109,-1.13798,0.568147
23,2.72072,4.05946,-3.62867,1.83042
24,-5.40425,4.32384,2.91068,-0.148314
25,-3.2746,0.518951,3.4174,1.10589
26,5.50019,6.21097,0.835652,4.93437
27,-0.222798,-2.92733,6.08013,3.90616
28,-2.46982,-5.37413,6.41564,2.09865
29,0.48021,-1.13349,-0.70934,-1.35049
30,-5.409,-7.3868,-1.57047,-4.47461
31,-9.49054,-1.7242,0.284923,-0.577817
32,2.01445,-0.605135,3.78395,3.09039
33,12.0768,-1.91388,3.3189,2.06117
34,3.79782,0.789702,-0.748797,3.82905
35,-6.58624,4.55012,-1.54302,0.154211
36,-2.45286,1.99147,-5.44296,-1.87396
37,-3.05681,3.26782,-5.94637,2.38013
38,-4.9045,1.14573,0.910562,3.06647
39,0.580484,2.91057,5.38661,0.254813
40,9.96302,2.16434,-0.384726,-0.489466
41,-2.98531,1.7736,-0.135574,-5.54246
42,-8.41303,-6.69562,0.679482,-1.01164
43,3.98467,3.11746,5.11,3.17874
44,12.3617,-0.215481,3.44182,-0.246033
45,1.76709,-1.44071,-2.98703,-4.51079
46,-13.0433,6.66055,-2.98192,1.74308
47,0.19621,2.3551,3.08174,-5.78272
48,12.2379,-1.36804,-1.10542,-4.06601
49,3.094,5.46745,0.0472198,4.7274
50,-12.2482,3.90124,8.38195,5.2271
51,12.5307,-2.05298,0.526348,-2.45105
52,9.64944,-0.374651,-5.13779,-5.89586
53,-19.4309,-4.37816,2.55074,-4.2283
54,-6.56738,-2.58947,3.32662,-3.13047
55,24.927,-6.30447,0.488685,6.29595
56,5.28077,6.05559,8.81224,-1.51984
57,-7.57135,-14.4106,0.128201,-4.68518
58,6.77119,9.67406,-10.2261,-1.19425
59,-7.06224,-5.69287,-2.15266,-7.65408
60,-4.52118,0.906571,-5.3697,-0.56888
61,9.6949,8.68027,-5.42116,5.12894
62,1.70019,-9.01036,5.46138,-6.03322
63,5.47915,8.39162,-7.82632,1.77897
64,1.32962,3.55063,1.46446,4.93091
65,-7.74639,-2.56846,10.0579,-6.56591
66,14.783,-1.65411,-5.84345,-3.12384
67,-0.170155,1.45675,-2.42968,-3.64242
68,-14.323,-2.82267,4.93535,-6.27823
69,15.654,-2.83324,-5.74053,6.13136
70,8.66298,7.03081,8.64035,4.12898
71,-7.91003,-7.86594,7.78846,-9.1742
72,10.0018,-1.89842,-10.9262,-0.719206
73,-7.29292,8.72596,-2.94578,-1.12003
74,-10.6363,-19.1726,0.521656,-8.15133
75,13.3908,7.18347,-7.30429,2.51561
76,5.02975,-0.514298,5.40151,4.28983
77,-4.93463,-4.46955,4.64784,2.5894
78,8.7775,-2.53876,-6.66444,1.77018
79,-6.02056,-1.76434,3.72407,-9.59405
80,-8.3939,-10.6642,-1.72389,-7.09544
81,5.9964,2.51278,-4.40745,0.0998755
82,-0.525121,-4.04559,10.029,-0.357588
83,13.2795,5.67434,5.74847,5.5155
84,13.2323,0.414283,3.33007,-2.04086
85,-3.84056,-0.197856,1.37851,-10.2323
86,-5.27996,1.15116,-7.3552,-5.0677
87,-0.743175,4.3256,-3.76263,-1.25392
88,-1.62163,-2.16538,-0.0212102,-3.74907
89,13.2188,-5.49534,-5.82773,1.06323
90,3.45099,8.92024,-4.40883,10.2245
91,-15.7357,-2.03129,7.44811,8.48512
92,8.62091,-5.97163,5.48704,-12.0219
93,13.1348,-7.96871,-2.88991,-14.476
94,-19.6783,-3.74542,3.63164,-14.0753
95,-2.13644,-6.04321,-4.22658,-0.878035
96,27.8207,3.97893,-7.48129,22.1374
97,-0.777234,-1.37455,18.5809,6.48317
98,1.3938,-11.9127,-0.971328,-7.69631
99,6.82614,5.15291,-22.5616,-4.82196
100,-36.0142,-3.34099,3.66434,-12.0609
101,-5.09855,-4.84835,4.83905,-4.21374
102,33.3755,1.86078,0.249876,10.2756
103,6.16275,-2.53944,12.3775,10.5434
104,-5.49354,5.21988,-4.00723,7.70207
105,-4.66895,-4.11433,-6.81275,-4.84041
106,-10.5027,-5.65478,5.13069,-16.1104
107,2.72627,1.55871,0.345757,-7.78437
108,5.94022,-1.02055,-0.756804,-3.88945
109,-0.663528,3.94408,4.32184,6.15081
110,15.013,9.9524,5.56954,9.34729
111,10.8472,-1.12549,5.83248,-1.57158
112,-8.66529,1.44102,-3.63806,-6.43476
113,-11.9243,2.72672,-12.1503,-6.66637
114,-15.7241,5.1605,-3.4245,-1.45412
115,-0.187257,-6.47273,2.25082,1.60948
116,23.5513,0.172274,-1.63353,12.0121
117,3.51897,4.71363,6.7248,8.37933
118,-7.80936,-6.7329,6.17834,-5.14769
119,6.35394,0.890301,-6.86903,-1.50615
120,-5.6371,0.945075,-1.14323,-2.56996
121,-12.7786,-4.12707,1.56296,-4.31852
122,2.16981,2.9812,-6.65175,2.11868
123,7.45927,-3.46274,-1.11853,0.290846
124,-0.971409,-1.85057,-3.68138,6.41039
125,-1.9979,4.36546,-2.72574,4.77035
126,-3.50067,0.121432,4.30474,-3.56156
127,6.51595,4.46755,-0.462265,2.06953
128,-0.463523,5.63706,1.47991,1.87727
129,-5.10859,0.125228,1.70795,-3.1188
130,3.50662,4.6316,-8.90861,5.12664
131,-7.98725,2.34479,-2.45355,6.09633
132,-8.3163,-0.841586,2.33704,1.8715
133,6.52083,6.16419,-1.44232,1.63614
134,0.774374,4.61967,1.38016,2.95592
135,-10.8439,-6.49144,9.24294,-3.84347
136,9.62202,3.25602,1.90054,2.06694
137,6.49247,-1.05038,2.02098,3.76304
138,-8.06975,-6.30583,5.36287,-3.27806
139,2.68855,7.81975,-6.74901,2.56159
140,-1.88962,-1.19287,-1.09066,0.435984
141,-9.28444,2.21016,2.58854,-3.52336
142,6.43643,7.60607,-5.76316,3.41195
143,-2.74298,-3.35332,4.52905,-3.86365
144,0.641804,6.87381,-3.43774,5.64694
145,-4.41549,7.94773,-5.69322,7.91985
146,-10.6161,-6.07806,5.66555,-4.18535
147,7.02994,5.03821,-2.91281,2.78773
148,1.36422,2.21016,3.77787,-0.325013
149,-4.31413,-7.92749,10.0036,0.271678
150,12.4704,13.3919,-4.08256,10.2893
151,-2.15883,-5.54645,1.3734,0.35974
152,-7.56349,-2.87907,-4.51865,-0.26765
153,-5.09272,11.403,-9.2524,4.68532
154,-12.8459,-7.24187,-0.627954,0.052891
155,1.53423,5.69875,0.120468,1.10647
156,5.398,1.44048,1.46514,0.73015
157,-1.27224,-4.24421,6.94359,1.69163
158,4.50801,3.20125,1.04851,5.28533
159,-0.017243,-3.33665,-3.07947,0.164014
160,-9.53805,-3.08827,-3.48824,1.29874
161,-7.34083,2.78678,-0.992578,1.65358
162,-1.86982,3.45613,0.116742,4.24731
163,1.52066,1.25257,4.64011,3.25182
164,-2.60702,5.04146,8.50183,-0.655499
165,1.42134,-1.52111,4.30611,-2.29121
166,1.84971,-0.571649,2.70677,-2.01708
167,-0.766251,-2.28144,-1.27636,3.90386
168,-3.37177,1.66432,-2.59068,7.25686
169,0.0641697,-0.70777,-3.7338,3.72831
170,-0.0772191,1.28036,-6.81399,2.95463
171,-9.04631,4.95062,-1.78722,0.749752
172,-6.08081,0.742383,1.91765,0.256545
173,6.33629,2.0034,-0.833375,-0.0988757
174,1.9622,1.25311,1.83611,-1.3453
175,-3.41315,-1.12346,0.894273,3.66864
176,-2.75926,3.66954,-1.52882,4.51741
