,Timestamp,MotorData.ActCurrent,MotorData.ActSpeed,MotorData.IsAcceleration,MotorData.IsForce,MotorData.Motor_Pos1reached,MotorData.Motor_Pos2reached,MotorData.Motor_Pos3reached,MotorData.Motor_Pos4reached,MotorData.SetAcceleration,MotorData.SetCurrent,MotorData.SetForce,MotorData.SetSpeed,NVL_Recv_Ind.GL_Metall,NVL_Recv_Ind.GL_NonMetall,NVL_Recv_Storage.GL_I_ProcessStarted,NVL_Recv_Storage.GL_I_Slider_IN,NVL_Recv_Storage.GL_I_Slider_OUT,NVL_Recv_Storage.GL_LightBarrier,NVL_Send_Storage.ActivateStorage,PLC_PRG.Gripper,PLC_PRG.MaterialIsMetal,NVL_Recv_Storage.GL_X_TimeSlideIn,NVL_Recv_Storage.GL_X_TimeSlideOut
0,2017-07-24 22:24:38.295,264,0,0,57,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
1,2017-07-24 22:24:38.340,260,0,0,58,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
2,2017-07-24 22:24:38.384,260,0,0,58,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
3,2017-07-24 22:24:38.432,245,0,0,56,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
4,2017-07-24 22:24:38.479,268,0,0,56,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
5,2017-07-24 22:24:38.525,265,0,0,55,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
6,2017-07-24 22:24:38.572,242,0,0,55,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
7,2017-07-24 22:24:38.619,242,0,0,55,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
8,2017-07-24 22:24:38.668,258,0,0,55,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
9,2017-07-24 22:24:38.712,258,0,0,55,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
10,2017-07-24 22:24:38.759,262,0,0,56,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
11,2017-07-24 22:24:38.807,262,0,0,53,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
12,2017-07-24 22:24:38.853,262,0,0,53,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
13,2017-07-24 22:24:38.899,257,0,0,54,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
14,2017-07-24 22:24:38.947,260,0,0,54,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
15,2017-07-24 22:24:38.995,245,0,0,53,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
16,2017-07-24 22:24:39.040,239,0,0,53,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
17,2017-07-24 22:24:39.087,239,0,0,53,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
18,2017-07-24 22:24:39.133,249,0,0,54,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
19,2017-07-24 22:24:39.182,233,0,0,53,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
20,2017-07-24 22:24:39.229,256,0,0,54,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
21,2017-07-24 22:24:39.279,250,0,0,55,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
22,2017-07-24 22:24:39.321,250,0,0,55,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
23,2017-07-24 22:24:39.367,250,0,0,55,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
24,2017-07-24 22:24:39.416,253,0,0,52,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
25,2017-07-24 22:24:39.464,249,0,0,56,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
26,2017-07-24 22:24:39.509,231,0,0,53,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
27,2017-07-24 22:24:39.557,231,0,0,53,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
28,2017-07-24 22:24:39.604,258,0,0,54,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
29,2017-07-24 22:24:39.650,254,0,0,56,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
30,2017-07-24 22:24:39.696,258,0,0,59,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
31,2017-07-24 22:24:39.744,258,0,0,55,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
32,2017-07-24 22:24:39.790,258,0,0,55,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
33,2017-07-24 22:24:39.839,249,0,0,57,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
34,2017-07-24 22:24:39.884,251,0,0,56,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
35,2017-07-24 22:24:39.932,249,0,0,57,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
36,2017-07-24 22:24:39.977,249,0,0,57,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
37,2017-07-24 22:24:40.025,258,0,0,52,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
38,2017-07-24 22:24:40.073,258,0,0,52,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
39,2017-07-24 22:24:40.119,250,0,0,53,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
40,2017-07-24 22:24:40.168,262,0,0,54,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
41,2017-07-24 22:24:40.213,253,0,0,54,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
42,2017-07-24 22:24:40.260,247,0,0,54,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
43,2017-07-24 22:24:40.308,247,0,0,54,0,0,0,1,55,251,55,0,0,1,0,1,0,1,0,0,0,240,200
