,a1,a2,a3,a4
0,-3.93468,6.55216,-1.23798,20.3103
1,2.40285,9.99438,-3.24265,8.3132
2,6.24273,-3.17577,-0.686974,-4.19382
3,-3.99411,-14.1448,3.84536,-5.6586
4,1.76551,-6.46492,5.09623,-9.00136
5,8.0413,0.962914,-1.54231,2.54418
6,-4.01812,1.07599,7.16725,5.76429
7,4.91148,-4.4753,4.65973,1.98554
8,9.87637,1.05646,-6.2591,0.918555
9,-4.45857,5.19339,-13.3042,-2.54888
10,-5.11952,5.6831,-10.0638,0.417422
11,-9.42848,5.67469,0.432831,-2.98862
12,-3.65882,1.68175,7.39364,-5.52874
13,0.166275,-0.326172,2.70997,7.74519
14,0.325032,5.88362,-0.036916,10.6415
15,10.1761,1.11327,-2.04158,6.5423
16,4.64214,-10.1527,6.19451,-0.677087
17,-1.0552,-4.87309,3.86757,-3.74875
18,-2.65105,5.66683,-3.75337,-2.84189
19,-6.83097,6.99144,-1.44767,-3.15148
20,-5.02236,0.676028,-0.659934,6.30953
21,-6.14723,0.63305,3.32222,5.03818
22,0.514591,0.810116,-6.7156,-0.711821
23,-1.8152,2.63149,-9.73426,7.96845
24,-8.16901,0.796694,0.72475,3.2249
25,7.03109,1.28979,4.5902,2.19698
26,-0.671337,2.02151,3.94773,5.09684
27,-2.06039,1.37873,3.15405,2.34687
28,3.52338,-1.44063,-2.59617,1.92097
29,-6.79814,-0.344475,2.47047,-5.09
30,-2.97535,-0.00417177,-2.08049,-3.08403
31,-4.7651,1.66698,-3.25451,7.12646
32,-5.76662,7.09936,2.69424,2.74366
33,4.68325,6.808,2.73811,3.819
34,-0.38666,3.09571,4.53598,2.20649
35,3.16081,1.23868,1.47166,-6.09674
36,6.99093,0.337352,-2.20093,-1.83342
37,-3.37821,-0.857235,-1.27854,2.10993
38,1.89768,2.52573,-3.75488,5.73908
39,-2.44453,1.64827,-3.89657,5.09021
40,-7.14957,0.922511,-3.48393,4.84548
41,-6.77765,2.81628,-0.201224,5.11414
42,-8.66903,2.57617,6.25535,0.197058
43,-0.893868,-2.71006,2.55725,-1.26109
44,-0.0363087,-6.17559,-0.566536,0.185816
